field,year,count
Agricultural and Biological Sciences,2018,320.0
Agricultural and Biological Sciences,2019,577.0
Agricultural and Biological Sciences,2020,817.0
Agricultural and Biological Sciences,2021,984.0
Agricultural and Biological Sciences,2022,1221.0
Agricultural and Biological Sciences,2023,1982.0
Agricultural and Biological Sciences,2024,3248.75
Arts and Humanities,2018,199.0
Arts and Humanities,2019,238.0
Arts and Humanities,2020,243.0
Arts and Humanities,2021,243.0
Arts and Humanities,2022,209.0
Arts and Humanities,2023,403.0
Arts and Humanities,2024,328.75
"Biochemistry, Genetics and Molecular Biology",2018,816.0
"Biochemistry, Genetics and Molecular Biology",2019,1068.0
"Biochemistry, Genetics and Molecular Biology",2020,1096.0
"Biochemistry, Genetics and Molecular Biology",2021,1026.0
"Biochemistry, Genetics and Molecular Biology",2022,1009.0
"Biochemistry, Genetics and Molecular Biology",2023,1025.0
"Biochemistry, Genetics and Molecular Biology",2024,1663.75
"Business, Management and Accounting",2018,1810.0
"Business, Management and Accounting",2019,2150.0
"Business, Management and Accounting",2020,2268.0
"Business, Management and Accounting",2021,2267.0
"Business, Management and Accounting",2022,2085.0
"Business, Management and Accounting",2023,3075.0
"Business, Management and Accounting",2024,4603.75
Chemical Engineering,2018,6.0
Chemical Engineering,2019,11.0
Chemical Engineering,2020,8.0
Chemical Engineering,2021,6.0
Chemical Engineering,2022,3.0
Chemical Engineering,2023,4.0
Chemical Engineering,2024,23.75
Chemistry,2018,66.0
Chemistry,2019,267.0
Chemistry,2020,97.0
Chemistry,2021,109.0
Chemistry,2022,119.0
Chemistry,2023,199.0
Chemistry,2024,375.0
Computer Science,2018,23533.0
Computer Science,2019,29903.0
Computer Science,2020,34340.0
Computer Science,2021,36422.0
Computer Science,2022,33280.0
Computer Science,2023,42230.0
Computer Science,2024,58407.5
Decision Sciences,2018,1760.0
Decision Sciences,2019,2313.0
Decision Sciences,2020,2964.0
Decision Sciences,2021,2757.0
Decision Sciences,2022,2554.0
Decision Sciences,2023,3963.0
Decision Sciences,2024,6286.25
Dentistry,2018,29.0
Dentistry,2019,66.0
Dentistry,2020,100.0
Dentistry,2021,140.0
Dentistry,2022,254.0
Dentistry,2023,415.0
Dentistry,2024,607.5
Earth and Planetary Sciences,2018,236.0
Earth and Planetary Sciences,2019,320.0
Earth and Planetary Sciences,2020,337.0
Earth and Planetary Sciences,2021,331.0
Earth and Planetary Sciences,2022,403.0
Earth and Planetary Sciences,2023,409.0
Earth and Planetary Sciences,2024,693.75
"Economics, Econometrics and Finance",2018,365.0
"Economics, Econometrics and Finance",2019,492.0
"Economics, Econometrics and Finance",2020,699.0
"Economics, Econometrics and Finance",2021,778.0
"Economics, Econometrics and Finance",2022,742.0
"Economics, Econometrics and Finance",2023,1027.0
"Economics, Econometrics and Finance",2024,1427.5
Energy,2018,17.0
Energy,2019,25.0
Energy,2020,34.0
Energy,2021,45.0
Energy,2022,51.0
Energy,2023,62.0
Energy,2024,122.5
Engineering,2018,6438.0
Engineering,2019,8678.0
Engineering,2020,10634.0
Engineering,2021,11167.0
Engineering,2022,11340.0
Engineering,2023,14512.0
Engineering,2024,20762.5
Environmental Science,2018,569.0
Environmental Science,2019,777.0
Environmental Science,2020,882.0
Environmental Science,2021,882.0
Environmental Science,2022,1069.0
Environmental Science,2023,1408.0
Environmental Science,2024,2431.25
Health Professions,2018,634.0
Health Professions,2019,860.0
Health Professions,2020,1153.0
Health Professions,2021,1183.0
Health Professions,2022,1301.0
Health Professions,2023,2261.0
Health Professions,2024,3355.0
Immunology and Microbiology,2018,4.0
Immunology and Microbiology,2019,4.0
Immunology and Microbiology,2020,4.0
Immunology and Microbiology,2021,8.0
Immunology and Microbiology,2022,10.0
Immunology and Microbiology,2023,18.0
Immunology and Microbiology,2024,43.75
Materials Science,2018,267.0
Materials Science,2019,892.0
Materials Science,2020,469.0
Materials Science,2021,497.0
Materials Science,2022,384.0
Materials Science,2023,540.0
Materials Science,2024,1010.0
Mathematics,2018,146.0
Mathematics,2019,175.0
Mathematics,2020,256.0
Mathematics,2021,241.0
Mathematics,2022,197.0
Mathematics,2023,217.0
Mathematics,2024,278.75
Medicine,2018,3131.0
Medicine,2019,4632.0
Medicine,2020,7146.0
Medicine,2021,8033.0
Medicine,2022,8641.0
Medicine,2023,14986.0
Medicine,2024,19623.75
Neuroscience,2018,4936.0
Neuroscience,2019,5676.0
Neuroscience,2020,6385.0
Neuroscience,2021,6818.0
Neuroscience,2022,7103.0
Neuroscience,2023,8737.0
Neuroscience,2024,8833.75
Nursing,2018,4.0
Nursing,2019,11.0
Nursing,2020,3.0
Nursing,2021,8.0
Nursing,2022,8.0
Nursing,2023,9.0
Nursing,2024,10.0
"Pharmacology, Toxicology and Pharmaceutics",2018,6.0
"Pharmacology, Toxicology and Pharmaceutics",2019,10.0
"Pharmacology, Toxicology and Pharmaceutics",2020,8.0
"Pharmacology, Toxicology and Pharmaceutics",2021,9.0
"Pharmacology, Toxicology and Pharmaceutics",2022,11.0
"Pharmacology, Toxicology and Pharmaceutics",2023,6.0
"Pharmacology, Toxicology and Pharmaceutics",2024,23.75
Physics and Astronomy,2018,539.0
Physics and Astronomy,2019,734.0
Physics and Astronomy,2020,978.0
Physics and Astronomy,2021,1206.0
Physics and Astronomy,2022,1191.0
Physics and Astronomy,2023,1385.0
Physics and Astronomy,2024,1482.5
Psychology,2018,621.0
Psychology,2019,687.0
Psychology,2020,722.0
Psychology,2021,818.0
Psychology,2022,886.0
Psychology,2023,1115.0
Psychology,2024,1442.5
Social Sciences,2018,2341.0
Social Sciences,2019,3390.0
Social Sciences,2020,4186.0
Social Sciences,2021,4444.0
Social Sciences,2022,4232.0
Social Sciences,2023,6653.0
Social Sciences,2024,10491.25
Veterinary,2018,8.0
Veterinary,2019,9.0
Veterinary,2020,7.0
Veterinary,2021,13.0
Veterinary,2022,10.0
Veterinary,2023,14.0
Veterinary,2024,13.75
